name,death_cause,date,agency_name,state,state_name
"Railroad Detective Charles George Nolan, Sr.",Gunfire,1924-05-13,Grand Trunk Railroad Police Department,RR,
Police Officer Peter Andrew Rodgers,Struck by vehicle,1924-05-13,Dobbs Ferry Police Department,NY,New York
Patrolman Max Lefkowitz,Gunfire,1924-05-14,McKeesport Police Department,PA,Pennsylvania
Marshal John Albert Dean,Gunfire,1924-05-15,New Athens Police Department,OH,Ohio
Rural Police Officer B. H. Hatcher,Gunfire,1924-05-17,Marlboro County Sheriff's Office,SC,South Carolina
Superintendent Ed Diedrich,Other,1924-05-24,Multnomah County Sheriff's Office,OR,Oregon
Police Officer Joseph Kubacki,Gunfire,1924-05-24,Milwaukee Police Department,WI,Wisconsin
Detective Sergeant Bernardino Grottano,Gunfire,1924-05-26,New York City Police Department,NY,New York
Chief of Police Porter White,Gunfire,1924-05-30,Evarts Police Department,KY,Kentucky
Deputy Sheriff Neil Simpkins,Gunfire,1924-06-02,Bonneville County Sheriff's Office,ID,Idaho
Constable John Marion Seago,Gunfire,1924-06-02,Brunswick County Constable's Office,VA,Virginia
Deputy Sheriff E. K. Hensley,Gunfire,1924-06-10,Buncombe County Sheriff's Office,NC,North Carolina
Prison Guard Roger J. Harty,Vehicular assault,1924-06-11,St. Louis Metropolitan Police Department,MO,Missouri
Officer Elmer E. Honeycutt,Gunfire,1924-06-15,Greensboro Police Department,NC,North Carolina
Patrolman Harry Homer,Motorcycle accident,1924-06-15,Stowe Township Police Department,PA,Pennsylvania
Deputy Sheriff Joseph P. Morgan,Gunfire,1924-06-16,Muskogee County Sheriff's Office,OK,Oklahoma
Police Officer Charles S. Frank,Gunfire,1924-06-20,Baltimore City Police Department,MD,Maryland
Private Ulric C. Crawford,Gunfire,1924-06-20,West Virginia State Police,WV,West Virginia
Lieutenant Sidney E. Sears,Gunfire,1924-06-22,St. Louis Metropolitan Police Department,MO,Missouri
Policeman Charles Robert Sneesby,Gunfire,1924-06-25,Devils Lake Police Department,ND,North Dakota
Patrolman Frank Sugan,Other,1924-06-28,Cleveland Police Department,OH,Ohio
Patrolman Henry C. Stoudt,Gunfire,1924-07-01,Reading Police Department,PA,Pennsylvania
Patrolman Reason Sherman Monroe,Gunfire,1924-07-02,Hutchinson Police Department,KS,Kansas
Police Officer Ulysses Sterling Lenox,Gunfire,1924-07-02,Drumright Police Department,OK,Oklahoma
Officer Albert L. Colson,Gunfire,1924-07-03,Exeter Police Department,NH,New Hampshire
Deputy Keeper Daniel J. Walsh,Heart attack,1924-07-03,New Jersey Department of Corrections,NJ,New Jersey
Deputy Sheriff Rea Christian Horlocker,Vehicular assault,1924-07-03,Delaware County Sheriff's Office,OH,Ohio
Officer Charles E. DeBolt,Motorcycle accident,1924-07-04,Peoria Park District Police Department,IL,Illinois
Detective Truman Swain,Gunfire,1924-07-05,Philadelphia Police Department,PA,Pennsylvania
Police Officer Amos J. Comer,Gunfire,1924-07-05,Seattle Police Department,WA,Washington
Patrolman Joseph M. Jaeger,Motorcycle accident,1924-07-06,Hoboken Police Department,NJ,New Jersey
Patrolman Joseph Jovanovic,Gunfire,1924-07-07,Pittsburgh Police Department,PA,Pennsylvania
Police Officer Elbert Stuyvesant,Other,1924-07-08,Port Washington Police District,NY,New York
Special Agent James Nathaniel Malone,Gunfire,1924-07-08,Southern Pacific Railroad Police Department,RR,
Acting Detective Anthony Tekulve,Gunfire,1924-07-09,Cincinnati Police Department,OH,Ohio
Constable Ernest Mueller,Gunfire,1924-07-11,Frankfort Police Department,IL,Illinois
Sergeant Morris Vandyck Hubbard,Gunfire,1924-07-12,San Jose Police Department,CA,California
Detective Sergeant Timothy J. Connell,Gunfire,1924-07-12,New York City Police Department,NY,New York
Police Officer Charles B. Faulkner,Motorcycle accident,1924-07-13,Little Rock Police Department,AR,Arkansas
Rural Police Officer Henry B. Graves,Vehicular assault,1924-07-14,Chesterfield County Rural Police Commission,SC,South Carolina
Detective John Jack Coleman,Gunfire,1924-07-14,El Paso Police Department,TX,Texas
Conservation Warden Michael Kleist,Vehicle pursuit,1924-07-14,Wisconsin Department of Natural Resources,WI,Wisconsin
Village Marshal Thomas Dunn,Vehicular assault,1924-07-14,Hortonville Police Department,WI,Wisconsin
Traffic Officer Leslie Jennings,Struck by vehicle,1924-07-15,Muskogee Police Department,OK,Oklahoma
Patrolman James A. Williams,Gunfire,1924-07-16,Chicago Police Department,IL,Illinois
Patrolman John Schmiegel,Gunfire,1924-07-16,Saginaw Police Department,MI,Michigan
Patrolman Frank C. McGlynn,Gunfire,1924-07-18,Chicago Police Department,IL,Illinois
Deputy Sheriff Meyer Van Lewen,Gunfire,1924-07-19,Allegheny County Sheriff's Office,PA,Pennsylvania
Patrolman Lawrence Murphy,Other,1924-07-23,New Haven Police Department,CT,Connecticut
Detective Samuel George Garbett,Gunfire,1924-07-23,Pocatello Police Department,ID,Idaho
Deputy Sheriff John W. Hennessee,Gunfire,1924-07-23,Eastland County Sheriff's Office,TX,Texas
Deputy Sheriff John Thomas Holloway,Gunfire,1924-07-23,Bexar County Sheriff's Office,TX,Texas
Deputy Sheriff Michael A. Schoch,Vehicle pursuit,1924-07-25,Mercer County Sheriff's Office,OH,Ohio
Police Officer Bernard Early,Gunfire,1924-07-26,St. Louis Metropolitan Police Department,MO,Missouri
Patrolman John Hyland,Gunfire,1924-07-26,New York City Police Department,NY,New York
Police Officer Harvey L. Biggs,Gunfire,1924-07-27,Little Rock Police Department,AR,Arkansas
Policeman George E. Papst,Motorcycle accident,1924-07-27,Los Angeles Police Department,CA,California
Police Officer Albert D. Coturri,Struck by vehicle,1924-07-29,San Bruno Police Department,CA,California
Officer Leon George,Gunfire,1924-07-29,Wilmington Police Department,NC,North Carolina
Deputy Sheriff Edward Carr,Gunfire,1924-08-01,St. Clair County Sheriff's Department,IL,Illinois
Deputy Marshal Jesse E. Nelson,Gunfire,1924-08-01,Upland Police Department,IN,Indiana
Assistant Chief of Police David Walter O'Brien,Gunfire,1924-08-03,Canton Police Department,IL,Illinois
Patrolman Joseph Leo Riley,Automobile accident,1924-08-03,Pittsburgh Police Department,PA,Pennsylvania
Police Officer William G. Ashworth,Gunfire,1924-08-04,Detroit Police Department,MI,Michigan
Patrolman John True,Gunfire,1924-08-04,Nashville City Police Department,TN,Tennessee
"Marshal Arnott Berthier ""Bert"" Cowgill",Gunfire,1924-08-06,Wolcott Police Department,IN,Indiana
Deputy Sheriff Frank Smith,Gunfire,1924-08-09,Clay County Sheriff's Office,IA,Iowa
Patrolman Emery O. Gooch,Motorcycle accident,1924-08-09,Maine State Police,ME,Maine
Patrolman William F. Hodges,Gunfire,1924-08-10,Savannah Police Department,GA,Georgia
Patrolman Harry Gaster,Gunfire,1924-08-10,Chicago Police Department,IL,Illinois
"Patrol Officer Asa Duke Mullis, Sr.",Gunfire,1924-08-12,Valdosta Police Department,GA,Georgia
Sheriff Newt D. Boles,Gunfire,1924-08-12,Taney County Sheriff's Office,MO,Missouri
Patrolman Frederick Thomas,Gunfire,1924-08-14,New York City Police Department,NY,New York
Patrolman William Gibson,Motorcycle accident,1924-08-14,Anderson Police Department,SC,South Carolina
Police Officer Frank Milanoski,Assault,1924-08-15,St. Paul Police Department,MN,Minnesota
Detective Frank E. Hage,Gunfire,1924-08-17,Detroit Police Department,MI,Michigan
Policeman Edward E. Wilhoit,Gunfire,1924-08-20,Los Angeles Police Department,CA,California
Police Officer Charles Wilson,Gunfire,1924-08-20,Livingston Police Department,MT,Montana
Sheriff Eli M. Rentz,Gunfire,1924-08-22,Jackson Parish Sheriff's Department,LA,Louisiana
Patrolman Harry Blumburg,Automobile accident,1924-08-22,New York City Police Department,NY,New York
Officer J. Clark Etheridge,Motorcycle accident,1924-08-23,Houston Police Department,TX,Texas
Policeman Frank E. Corley,Gunfire,1924-08-24,Los Angeles Police Department,CA,California
Patrolman Cornelius Broderick,Gunfire,1924-08-24,Chicago Police Department,IL,Illinois
Chief of Police Martin J. Ford,Gunfire,1924-08-24,Marquette City Police Department,MI,Michigan
Patrolman Thomas J. Thornton,Gunfire,1924-08-24,Marquette City Police Department,MI,Michigan
Fish Warden Louis Baldwin,Other,1924-08-24,"New Jersey Divison of Fish, Game and Wildlife",NJ,New Jersey
"Patrolman Gustave J. ""Gus"" Lund",Automobile accident,1924-08-25,Salt Lake City Police Department,UT,Utah
Patrolman Melvin Gregory,Gunfire,1924-08-26,Harlan County Police Department,KY,Kentucky
Lieutenant Robert John Galloway,Gunfire (Accidental),1924-08-26,Pittsburgh Police Department,PA,Pennsylvania
Sheriff William Austin Goodman,Gunfire,1924-08-27,Harney County Sheriff's Department,OR,Oregon
Officer Raymond C. Leisinger,Gunfire,1924-08-28,Metropolitan Police Department,DC,District of Columbia
Deputy Sheriff Thomas Gentry,Gunfire,1924-08-28,Vernon Parish Sheriff's Office,LA,Louisiana
"Deputy Sheriff J. R. ""Bud"" Allison",Gunfire,1924-08-30,Williamson County Sheriff's Department,IL,Illinois
Patrolman Fred H. Preston,Motorcycle accident,1924-08-30,Patchogue Police Department,NY,New York
Constable John C. Chambers,Other,1924-08-31,Fayette County Constable's Office,TN,Tennessee
Deputy Marshal James Jackson,Gunfire,1924-09-01,Mulberry Police Department,AR,Arkansas
Marshal Henry Hamm,Gunfire,1924-09-01,Mulberry Police Department,AR,Arkansas
City Marshal Henry Franklin Knowles,Gunfire,1924-09-02,Jasper Police Department,FL,Florida
Officer William J. Kelly,Gunfire,1924-09-03,Jacksonville Police Department,FL,Florida
Constable Elijah James Harris,Gunfire,1924-09-04,Dallas County Constable's Office - Precinct 3,TX,Texas
Sergeant Edward Hezikiah Quarles,Other,1924-09-05,Augusta Police Department,GA,Georgia
Trooper Albert J. Hasson,Struck by vehicle,1924-09-07,Illinois State Police,IL,Illinois
Constable Rupert L. Haines,Gunfire,1924-09-10,Burns Police Department,OR,Oregon
Deputy Constable J. Edward Brown,Gunfire,1924-09-14,Los Angeles County Constable's Office,CA,California
"Police Officer Francis X. ""Buck"" Roy",Gunfire,1924-09-14,Lower Merion Township Police Department,PA,Pennsylvania
Chief of Police George Rae,Gunfire,1924-09-16,West Newton Borough Police Department,PA,Pennsylvania
Patrolman Llewellyn A. Lowther,Motorcycle accident,1924-09-20,Massachusetts State Police,MA,Massachusetts
Sheriff Garrett Groomer,Gunfire,1924-09-21,Benton County Sheriff's Department,MO,Missouri
Police Officer Thomas J. Nihill,Assault,1924-09-21,Philadelphia Police Department,PA,Pennsylvania
Patrolman Albert Motroni,Gunfire,1924-09-22,Boston Police Department,MA,Massachusetts
Patrolman David Boitano,Gunfire,1924-09-25,Chicago Police Department,IL,Illinois
Police Officer Robert L. Litsey,Gunfire,1924-09-25,Seattle Police Department,WA,Washington
Deputy Sheriff James C. Wright,Automobile accident,1924-09-28,Dallas County Sheriff's Department,TX,Texas
Trooper Theodore A. Dobbs,Motorcycle accident,1924-09-29,New York State Police,NY,New York
Sergeant Michael J. Brady,Gunfire,1924-10-05,San Francisco Police Department,CA,California
"Deputy Marshal Paul Frank Weber, Sr.",Gunfire,1924-10-05,Fairmont City Police Department,IL,Illinois
Chief of Police Emil H. Johnson,Motorcycle accident,1924-10-05,Elmwood Park Police Department,IL,Illinois
Officer Joseph J. Pedraza,Gunfire (Accidental),1924-10-07,San Antonio Police Department,TX,Texas
"Deputy Marshal Walter S. Stroman, Jr.",Gunfire,1924-10-08,Lake Park Police Department,FL,Florida
Patrolman Samuel R. McGreevy,Automobile accident,1924-10-09,Pittsburgh Police Department,PA,Pennsylvania
Patrolman Michael Dudash,Motorcycle accident,1924-10-10,Edison Police Department,NJ,New Jersey
Patrolman Michael Murtaugh,Gunfire,1924-10-11,Chicago Police Department,IL,Illinois
Police Officer James Skelly,Gunfire,1924-10-12,New Britain Police Department,CT,Connecticut
Patrolman John J. McKenzie,Struck by vehicle,1924-10-13,Chelsea Police Department,MA,Massachusetts
Private Francis L. Haley,Gunfire,1924-10-14,Pennsylvania State Police,PA,Pennsylvania
Sergeant Edwin Francis Haas,Gunfire (Accidental),1924-10-17,Pennsylvania State Police,PA,Pennsylvania
Deputy Sheriff Willis A. Davis,Gunfire,1924-10-18,Delta County Sheriff's Office,CO,Colorado
Patrolman John J. McGlynn,Other,1924-10-18,New York City Police Department,NY,New York
Chief of Police Asa L. Ransom,Gunfire,1924-10-19,Minden Police Department,NE,Nebraska
Sergeant Neil Gibbons,Other,1924-10-19,New York City Police Department,NY,New York
Assistant Chief of Police Perry Eugene Bostick,Gunfire,1924-10-20,Ocala Police Department,FL,Florida
Patrolman Michael J. Hahnel,Gunfire,1924-10-20,Shaker Heights Police Department,OH,Ohio
Police Officer Gordon A. Harris,Gunfire,1924-10-21,Lewiston Police Department,ID,Idaho
Patrolman John W. Hennigar,Vehicle pursuit,1924-10-22,Richmond Police Department,IN,Indiana
Police Officer Fred V. Breslin,Automobile accident,1924-10-25,Detroit Police Department,MI,Michigan
"City Marshal William Summer ""Bill"" Ellis",Gunfire,1924-10-25,Bartlesville Police Department,OK,Oklahoma
Patrolman Clarence E. Bolton,Struck by vehicle,1924-10-30,Taunton Police Department,MA,Massachusetts
Captain Dillon Duncan Brooke,Other,1924-10-31,Dade County Sheriff's Department,FL,Florida
Patrolman Herbert Hamilton Gillis,Motorcycle accident,1924-11-01,Waukegan Police Department,IL,Illinois
City Marshal William Matthew Tilghman,Gunfire,1924-11-01,Cromwell Police Department,OK,Oklahoma
Chief of Police Henry Ingram,Gunfire,1924-11-02,Attalla Police Department,AL,Alabama
County Policeman Linton Snow Skelton,Gunfire,1924-11-02,Hart County Board of Commissioners,GA,Georgia
Detective Briggs Chumley,Gunfire,1924-11-03,Oklahoma City Police Department,OK,Oklahoma
Patrolman John A. Monahan,Motorcycle accident,1924-11-05,New York City Police Department,NY,New York
Officer Edward J. Vellines,Gunfire,1924-11-05,Norfolk Police Department,VA,Virginia
Special Officer Adda J. Webb,Gunfire,1924-11-07,Milton County Sheriff's Office,GA,Georgia
Sergeant Harry J. Crowley,Gunfire,1924-11-08,Chicago Police Department,IL,Illinois
Special Agent Eveleigh B. Bates,Other,1924-11-08,Southern Pacific Railroad Police Department,RR,
Sheriff Myles S. Keller,Gunfire,1924-11-09,Perkins County Sheriff's Office,NE,Nebraska
City Marshal Otto Holler,Gunfire,1924-11-09,Eldorado Police Department,OK,Oklahoma
Constable Charles T. Weber,Vehicular assault,1924-11-10,Howard County Sheriff's Office,MD,Maryland
Sergeant Robert E. Woody,Gunfire,1924-11-10,St. Louis Metropolitan Police Department,MO,Missouri
Sergeant Archie B. Wood,Gunfire,1924-11-12,Nashville City Police Department,TN,Tennessee
Trooper Alexander E. Boehm,Other,1924-11-13,New York State Police,NY,New York
Deputy Prohibition Officer Leander M. Cook,Gunfire,1924-11-15,West Virginia Department of Prohibition,WV,West Virginia
Constable George W. Boyle,Gunfire,1924-11-18,Fresno County Constable's Office - Kingsburg Judicial District,CA,California
Policeman Fred John Koerber,Motorcycle accident,1924-11-22,Arlington Heights Police Department,IL,Illinois
Marshal Dale A. Perry,Motorcycle accident,1924-11-22,St. Helens Police Department,OR,Oregon
Officer Harry Borum,Assault,1924-11-23,Terre Haute Police Department,IN,Indiana
Special Officer Fred W. Benz,Gunfire,1924-11-23,St. Louis Metropolitan Police Department,MO,Missouri
Constable George Walter Mills,Struck by vehicle,1924-11-26,Westport Police Department,CT,Connecticut
Patrolman Peter Mellody,Gunfire,1924-11-27,Chicago Police Department,IL,Illinois
Captain Albert L. Youmans,Gunfire,1924-11-28,Schenectady Police Department,NY,New York
Patrolman Edward J. Cleary,Gunfire,1924-11-29,Chicago Police Department,IL,Illinois
Patrolman William A. Perrin,Gunfire,1924-11-30,Chicago Police Department,IL,Illinois
Policeman Robert Wise,Gunfire,1924-11-30,Philadelphia Police Department,PA,Pennsylvania
Patrolman Herbert Dreger,Gunfire,1924-12-02,Madison Police Department,WI,Wisconsin
Patrolman Joseph Pelosi,Other,1924-12-11,New York City Police Department,NY,New York
Patrolman John T. Plunkett,Motorcycle accident,1924-12-12,Newark Police Department,NJ,New Jersey
Police Officer Jonas Aiken,Gunfire,1924-12-13,Atlanta Police Department,GA,Georgia
Patrolman Henry W. Wentz,Gunfire,1924-12-13,Elkhart Police Department,IN,Indiana
Deputy Sheriff Lewis L. Dryden,Gunfire,1924-12-13,Somerset County Sheriff's Office,MD,Maryland
Deputy Sheriff Robert W. Arnold,Gunfire,1924-12-14,Osage County Sheriff's Office,OK,Oklahoma
Game Warden Joseph J. Powell,Gunfire,1924-12-16,Virginia Department of Game and Inland Fisheries,VA,Virginia
Trooper Robert E. Coyle,Gunfire,1924-12-18,New Jersey State Police,NJ,New Jersey
Police Officer Walter Luedtke,Gunfire,1924-12-18,Milwaukee Police Department,WI,Wisconsin
Special Officer William W. Wiles,Gunfire,1924-12-19,Kern County District Attorney's Office,CA,California
"Detective Rudolph  ""Rudy"" Markl",Gunfire,1924-12-20,Kansas City Police Department,KS,Kansas
Officer James J. Shaw,Other,1924-12-21,Mobile Police Department,AL,Alabama
Private Bernard St. Clair McElroy,Motorcycle accident,1924-12-21,Pennsylvania State Police,PA,Pennsylvania
Patrolman William Holmes,Gunfire,1924-12-24,Chicago Police Department,IL,Illinois
Patrolman Jacob Uhle,Gunfire,1924-12-24,New Orleans Police Department,LA,Louisiana
Deputy Sheriff Murdock McInnis McIntosh,Gunfire,1924-12-24,Greene County Sheriff's Office,MS,Mississippi
Police Officer George D. Hart,Motorcycle accident,1925-01-02,Baltimore City Police Department,MD,Maryland
Patrolman Harrison R. Brown,Gunfire,1925-01-04,Wichita Police Department,KS,Kansas
Patrolman Benjamin Frank Law,Gunfire,1925-01-05,Covington Police Department,KY,Kentucky
Officer Benjamin Paul Carden,Gunfire,1925-01-06,Beaufort County Sheriff's Department,SC,South Carolina
Policeman Martin Parrilla-Ramos,Gunfire,1925-01-07,Puerto Rico Police Department,PR,Puerto Rico
Patrolman Michael Shine,Struck by vehicle,1925-01-10,New York City Police Department,NY,New York
Deputy Sheriff Lemoyne Anthony Hazard,Gunfire,1925-01-11,Inyo County Sheriff's Department,CA,California
Patrolman Harrison L. Boyd,Gunfire,1925-01-11,Marietta Police Department,OH,Ohio
Patrolman Ray M. Lazear,Gunfire,1925-01-12,Wheeling Police Department,WV,West Virginia
Officer Bertram F. Brewster,Gunfire (Accidental),1925-01-13,Fort Worth Police Department,TX,Texas
Special Agent Edward Lee Bowler,Other,1925-01-16,"Atchison, Topeka and Santa Fe Railroad Police Department",RR,
Patrolman Herman F. Harms,Gunfire,1925-01-25,Terre Haute Police Department,IN,Indiana
Detective Pete Corrales,Gunfire,1925-01-25,Houston Police Department,TX,Texas
Sergeant Thomas J. Babbington,Gunfire,1925-01-26,Chicago Police Department,IL,Illinois
Police Officer John H. Bohlen,Other,1925-01-31,St. Louis Metropolitan Police Department,MO,Missouri
Police Officer Haze Burch,Gunfire,1925-02-05,Phoenix Police Department,AZ,Arizona
Detective Ben Yeaden,Gunfire (Accidental),1925-02-07,Youngstown Police Department,OH,Ohio
Constable James E. Price,Gunfire,1925-02-07,Lexington County Constable's Office,SC,South Carolina
Police Officer Charles B. Claggett,Gunfire,1925-02-08,St. Louis Metropolitan Police Department,MO,Missouri
"Policeman J. H. ""Jimmie"" Daniel",Gunfire,1925-02-08,Ranger Police Department,TX,Texas
Night Watch Officer John Gould,Gunfire,1925-02-13,Oxford Village Police Department,MI,Michigan
Patrolman Peter Fromm,Gunfire,1925-02-13,Cleveland Police Department,OH,Ohio
Sheriff J. E. Jenkins,Vehicle pursuit,1925-02-14,Campbell County Sheriff's Office,GA,Georgia
Detective Chester A. Hagan,Gunfire,1925-02-14,New York City Police Department,NY,New York
Deputy Sheriff Basil S. Stakes,Gunfire,1925-02-14,Orange County Sheriff's Office,TX,Texas
Police Officer Phelim McDonough,Gunfire,1925-02-18,Detroit Police Department,MI,Michigan
Guard Robert H. Holtman,Assault,1925-02-21,Maryland Division of Correction,MD,Maryland
Deputy Sheriff Joseph Talt Hall,Gunfire,1925-02-22,Floyd County Sheriff's Office,KY,Kentucky
Patrolman Maurice F. Harlow,Gunfire,1925-02-22,New York City Police Department,NY,New York
Patrolman Harold Ormsby,Vehicle pursuit,1925-02-24,New York City Police Department,NY,New York
"Officer Neill A. Yarborough, Sr.",Gunfire,1925-02-25,Louisiana State Police,LA,Louisiana
Patrolman Albert B. Cummings,Gunfire,1925-02-27,Kansas City Police Department,MO,Missouri
Patrolman Henry A. Richter,Gunfire,1925-02-27,Cleveland Police Department,OH,Ohio
Deputy Sheriff Charles Lewis,Gunfire,1925-03-02,Elko County Sheriff's Office,NV,Nevada
Patrolman Arthur F. Lackey,Gunfire,1925-03-03,Greenville Police Department,SC,South Carolina
Deputy Sheriff Samuel E. Duhon,Gunfire,1925-03-06,Calcasieu Parish Sheriff's Office,LA,Louisiana
Constable Samuel Claybrooks Locke,Gunfire,1925-03-07,Williamson County Constable's Office,TN,Tennessee
Park Policeman Raymond Earl Walsh,Motorcycle accident,1925-03-08,North Shore Park District Police Department,IL,Illinois
Patrolman Harry E. Shaffer,Struck by vehicle,1925-03-09,Columbus Division of Police,OH,Ohio
Deputy Sheriff Enos Murphy,Gunfire,1925-03-10,Hopkins County Sheriff's Office,KY,Kentucky
Trooper William Martz,Gunfire (Accidental),1925-03-12,Michigan State Police,MI,Michigan
Sergeant Laurie Lafayette Wever,Gunfire,1925-03-15,Miami Police Department,FL,Florida
Special Officer Lewis H. Mickey,Gunfire,1925-03-20,"Atchison, Topeka and Santa Fe Railroad Police Department",RR,
Deputy Sheriff James A. Sewell,Gunfire,1925-03-24,Tulsa County Sheriff's Office,OK,Oklahoma
Constable George L. Reeves,Gunfire,1925-03-24,Taylor County Constable's Office,TX,Texas
Sheriff W. W. Satterwhite,Gunfire,1925-03-24,Howard County Sheriff's Office,TX,Texas
Captain James B. Power,Automobile accident,1925-03-25,Solano County State Traffic Force,CA,California
Policeman Harry C. Lomas,Struck by vehicle,1925-03-26,Philadelphia Police Department,PA,Pennsylvania
Policeman James Shannon,Gunfire,1925-04-04,Denver Police Department,CO,Colorado
Police Officer Harry Wise,Motorcycle accident,1925-04-04,St. Louis Metropolitan Police Department,MO,Missouri
Police Officer Harry W. Schmidt,Gunfire,1925-04-04,Milwaukee Police Department,WI,Wisconsin
Patrolman T. B. Knox,Gunfire,1925-04-05,Memphis Police Department,TN,Tennessee
Officer Samuel D. Gentry,Gunfire,1925-04-08,DeKalb County Police Department,GA,Georgia
Police Officer Joseph E. Sage,Gunfire,1925-04-08,Butte Police Department,MT,Montana
Police Officer Jesse E. Farr,Vehicular assault,1925-04-09,Beverly Hills Police Department,CA,California
Patrolman Charles Wilson Hanson,Motorcycle accident,1925-04-09,Braddock Borough Police Department,PA,Pennsylvania
Patrolman Edward F. Hall,Gunfire,1925-04-10,Wichita Police Department,KS,Kansas
Policeman Ralph Miover,Motorcycle accident,1925-04-11,Los Angeles Police Department,CA,California
Officer George Campbell,Gunfire,1925-04-11,San Francisco Police Department,CA,California
Chief of Police Thomas Bowlin,Gunfire,1925-04-13,Jellico Police Department,KY,Kentucky
Patrolman John F. Smith,Gunfire,1925-04-13,Kingsport Police Department,TN,Tennessee
Deputy Sheriff Hubert Webb,Gunfire,1925-04-13,Sullivan County Sheriff's Department,TN,Tennessee
Patrolman Lawrence Sullivan,Gunfire,1925-04-14,Chicago Police Department,IL,Illinois
Patrolman Charles Frantz,Motorcycle accident,1925-04-14,Cleveland Police Department,OH,Ohio
Police Officer Gus Barnett Bailey,Other,1925-04-17,Swainsboro Police Department,GA,Georgia
Patrolman Thomas F. Kelly,Gunfire,1925-04-17,New York City Police Department,NY,New York
Patrolman David A. Moehler,Gunfire,1925-04-18,East St. Louis Police Department,IL,Illinois
Sergeant Thomas P. Oates,Gunfire,1925-04-25,Troy Police Department,NY,New York
Sheriff Henry Hampton Howard,Gunfire,1925-04-25,Aiken County Sheriff's Office,SC,South Carolina
Police Officer I Carl T. Hunt,Vehicle pursuit,1925-05-01,St. Louis Metropolitan Police Department,MO,Missouri
Police Officer Joseph O'Connor,Struck by vehicle,1925-05-01,East Orange Police Department,NJ,New Jersey
Patrol Officer William J. Stokes,Gunfire,1925-05-02,Waterbury Police Department,CT,Connecticut
Patrolman Peerless F. Stout,Vehicle pursuit,1925-05-03,Jefferson County Police Department,KY,Kentucky
Police Officer Elmer M. Cox,Gunfire,1925-05-05,Detroit Police Department,MI,Michigan
Deputy Sheriff W. Vernon Eason,Gunfire,1925-05-05,Gates County Sheriff's Office,NC,North Carolina
Conservation Officer Frank J. Appel,Motorcycle accident,1925-05-08,Minnesota Department of Natural Resources - Enforcement Division,MN,Minnesota
Patrolman Lon Castle,Gunfire,1925-05-09,Ashland Police Department,KY,Kentucky
Sergeant Thomas M. Wade,Motorcycle accident,1925-05-09,Bedford Town Police Department,NY,New York
"Sheriff John E. ""Johnnie"" Ratliff",Gunfire,1925-05-09,McClain County Sheriff's Office,OK,Oklahoma
Patrolman Charles L. Godfrey,Gunfire (Accidental),1925-05-12,New York City Police Department,NY,New York
Patrolman Walter Mullin,Gunfire (Accidental),1925-05-12,Toledo Police Department,OH,Ohio
"Deputy Sheriff Harry ""Tubby"" Green",Gunfire,1925-05-15,Bibb County Sheriff's Office,GA,Georgia
Sheriff Richard Allen Pauley,Gunfire,1925-05-16,Coleman County Sheriff's Department,TX,Texas
Police Officer Allen F. Shoemaker,Gunfire,1925-05-17,Chicago and Northwestern Railroad Police Department,RR,
Police Officer Patrick J. Conniff,Other,1925-05-18,Baltimore City Police Department,MD,Maryland
Patrol Officer M. Roy Hamlin,Motorcycle accident,1925-05-23,Camp Hill Borough Police Department,PA,Pennsylvania
Officer Walter O. Womeldorf,Gunfire (Accidental),1925-05-29,Columbus Division of Police,OH,Ohio
Traffic Officer Wallace Rogers Valentine,Vehicle pursuit,1925-05-30,San Diego County State Traffic Force,CA,California
Deputy Sheriff Jesse Ferrell,Gunfire,1925-05-30,Pike County Sheriff's Department,KY,Kentucky
Officer Ellsworth Alexander Moore,Motorcycle accident,1925-05-31,Fredericksburg Police Department,VA,Virginia
Constable Leon Francis Smith,Gunfire,1925-06-02,Mecklenburg County Sheriff's Office,VA,Virginia
Constable John S. Pilcher,Gunfire (Accidental),1925-06-04,Los Angeles County Constable's Office,CA,California
Rural Police Officer James R. Snoddy,Gunfire,1925-06-04,Spartanburg County Sheriff's Office,SC,South Carolina
Patrolman Vinton Jerry Margretz,Motorcycle accident,1925-06-07,Waterloo Police Department,IA,Iowa
Patrolman James P. Baggott,Gunfire,1925-06-07,Chicago Police Department,IL,Illinois
Policeman Harold August Kegler,Motorcycle accident,1925-06-08,Cook County Highway Police,IL,Illinois
Police Officer John F. Creevy,Gunfire,1925-06-09,Philadelphia Police Department,PA,Pennsylvania
Police Officer Carey James Reaves,Gunfire,1925-06-10,High Point Police Department,NC,North Carolina
Night Marshal Henry Agnew,Struck by vehicle,1925-06-11,Emmetsburg Police Department,IA,Iowa
Patrolman Edward E. Dean,Gunfire,1925-06-11,Chicago Police Department,IL,Illinois
Patrolman James Cullen,Motorcycle accident,1925-06-11,New York City Police Department,NY,New York
Patrolman Harold F. Olsen,Gunfire,1925-06-13,Chicago Police Department,IL,Illinois
Patrolman Charles B. Walsh,Gunfire,1925-06-13,Chicago Police Department,IL,Illinois
Police Officer Casimir B. Kaliszewski,Gunfire,1925-06-13,Detroit Police Department,MI,Michigan
Marshal James Milton Burns,Gunfire,1925-06-16,Castle Gate Marshal's Office,UT,Utah
Trooper John Weber,Motorcycle accident,1925-06-17,Rhode Island State Police,RI,Rhode Island
Police Officer Fred G. Claywell,Gunfire,1925-06-18,High Point Police Department,NC,North Carolina
